ieee,network_id,endpoint_id,endpoint_profile_id,endpoint_device_type,command,attribute,attribute_id,Point_Name,cluster_id,is_command,value,Notes
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,reset_fact_default,none,none,Basicreset_fact_default0xF61E,0,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,reset_fact_default,zcl_version,0,Basiczcl_version0xF61E,0,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,reset_fact_default,app_version,1,Basicapp_version0xF61E,0,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,reset_fact_default,stack_version,2,Basicstack_version0xF61E,0,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,reset_fact_default,hw_version,3,Basichw_version0xF61E,0,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,reset_fact_default,manufacturer,4,Basicmanufacturer0xF61E,0,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,reset_fact_default,model,5,Basicmodel0xF61E,0,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,reset_fact_default,date_code,6,Basicdate_code0xF61E,0,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,reset_fact_default,power_source,7,Basicpower_source0xF61E,0,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,reset_fact_default,app_profile_version,8,Basicapp_profile_version0xF61E,0,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,reset_fact_default,location_desc,16,Basiclocation_desc0xF61E,0,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,reset_fact_default,physical_env,17,Basicphysical_env0xF61E,0,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,reset_fact_default,device_enabled,18,Basicdevice_enabled0xF61E,0,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,reset_fact_default,alarm_mask,19,Basicalarm_mask0xF61E,0,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,reset_fact_default,disable_local_config,20,Basicdisable_local_config0xF61E,0,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,reset_fact_default,sw_build_id,16384,Basicsw_build_id0xF61E,0,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,identify,none,none,Identifyidentify0xF61E,3,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,identify_query,none,none,Identifyidentify_query0xF61E,3,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,ezmode_invoke,none,none,Identifyezmode_invoke0xF61E,3,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,update_commission_state,none,none,Identifyupdate_commission_state0xF61E,3,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,trigger_effect,none,none,Identifytrigger_effect0xF61E,3,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,trigger_effect,identify_time,0,Identifyidentify_time0xF61E,3,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,trigger_effect,identify_commission_state,1,Identifyidentify_commission_state0xF61E,3,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,off,none,none,On/Offoff0xF61E,6,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,on,none,none,On/Offon0xF61E,6,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,toggle,none,none,On/Offtoggle0xF61E,6,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,off_with_effect,none,none,On/Offoff_with_effect0xF61E,6,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,on_with_recall_global_scene,none,none,On/Offon_with_recall_global_scene0xF61E,6,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,on_with_timed_off,none,none,On/Offon_with_timed_off0xF61E,6,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,on_with_timed_off,on_off,0,On/Offon_off0xF61E,6,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,on_with_timed_off,global_scene_control,16384,On/Offglobal_scene_control0xF61E,6,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,on_with_timed_off,on_time,16385,On/Offon_time0xF61E,6,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,on_with_timed_off,off_wait_time,16386,On/Offoff_wait_time0xF61E,6,True,0,
00:15:8d:00:07:01:3a:28,0xF61E,1,260,DeviceType.undefined_0x5f01,on_with_timed_off,start_up_on_off,16387,On/Offstart_up_on_off0xF61E,6,True,0,
